SA,0,193.0
GA,77,91.0
MIMIC,17366,198.0
RHC,0,194.0
SA,0,193.0
GA,75,117.0
MIMIC,14891,196.0
RHC,0,194.0
SA,0,196.0
GA,75,116.0
MIMIC,14589,198.0
RHC,0,194.0
SA,2,198.0
GA,73,120.0
MIMIC,14820,196.0
RHC,0,196.0
SA,0,196.0
GA,73,103.0
MIMIC,17269,198.0
RHC,2,196.0
SA,0,196.0
GA,73,112.0
MIMIC,14425,198.0
RHC,0,192.0
SA,0,196.0
GA,74,120.0
MIMIC,14100,196.0
RHC,3,196.0
SA,0,190.0
GA,72,111.0
MIMIC,15093,198.0
RHC,3,198.0
SA,0,190.0
GA,75,104.0
MIMIC,17654,198.0
RHC,0,194.0
SA,2,196.0
GA,73,113.0
MIMIC,14690,198.0
RHC,0,192.0
SA,0,194.0
GA,75,105.0
MIMIC,15106,198.0
RHC,0,194.0
SA,3,190.0
GA,84,110.0
MIMIC,16858,198.0
RHC,0,194.0
SA,2,192.0
GA,85,103.0
MIMIC,15481,196.0
RHC,0,193.0
SA,0,191.0
GA,74,94.0
MIMIC,14527,198.0
RHC,0,194.0
SA,0,196.0
GA,75,106.0
MIMIC,14374,198.0
RHC,0,198.0
SA,0,196.0
GA,72,118.0
MIMIC,21564,198.0
RHC,0,194.0
SA,1,194.0
GA,90,109.0
MIMIC,15612,198.0
RHC,0,192.0
SA,0,192.0
GA,72,107.0
MIMIC,14284,198.0
RHC,0,195.0
SA,2,194.0
GA,71,110.0
MIMIC,14513,198.0
RHC,0,196.0
SA,0,191.0
GA,90,119.0
MIMIC,14755,198.0
RHC,0,192.0
SA,0,189.0
GA,72,99.0
MIMIC,14583,198.0
RHC,2,193.0
SA,0,194.0
GA,72,105.0
MIMIC,14416,198.0
RHC,0,192.0
SA,2,198.0
GA,70,102.0
MIMIC,16654,197.0
RHC,0,196.0
SA,2,194.0
GA,85,98.0
MIMIC,16019,197.0
RHC,3,196.0
SA,0,198.0
GA,72,103.0
MIMIC,14511,198.0
RHC,0,198.0
SA,0,196.0
GA,75,102.0
MIMIC,14326,197.0
RHC,0,194.0
SA,0,188.0
GA,73,96.0
MIMIC,14390,198.0
RHC,3,194.0
SA,0,194.0
GA,85,94.0
MIMIC,15482,198.0
RHC,0,198.0
SA,3,195.0
GA,80,107.0
MIMIC,14326,198.0
RHC,0,194.0
SA,0,196.0
GA,73,125.0
MIMIC,14500,198.0
RHC,0,196.0
SA,2,196.0
GA,78,110.0
MIMIC,14843,198.0
RHC,0,196.0
SA,0,192.0
GA,72,104.0
MIMIC,15125,197.0
