SA,0,110.0
GA,0,98.0
MIMIC,1342,191.0
RHC,0,124.0
SA,0,104.0
GA,15,103.0
MIMIC,1280,193.0
RHC,0,126.0
SA,0,113.0
GA,0,91.0
MIMIC,1107,190.0
RHC,0,126.0
SA,0,109.0
GA,0,111.0
MIMIC,1097,192.0
RHC,0,127.0
SA,0,105.0
GA,0,110.0
MIMIC,1112,188.0
RHC,0,132.0
SA,0,90.0
GA,0,111.0
MIMIC,1264,185.0
RHC,0,90.0
SA,0,102.0
GA,0,105.0
MIMIC,1108,184.0
RHC,0,123.0
SA,0,86.0
GA,0,111.0
MIMIC,1107,192.0
RHC,0,134.0
SA,0,102.0
GA,16,115.0
MIMIC,1107,188.0
RHC,0,126.0
SA,0,114.0
GA,0,102.0
MIMIC,1253,186.0
RHC,0,121.0
SA,0,108.0
GA,0,109.0
MIMIC,1269,189.0
RHC,0,112.0
SA,0,105.0
GA,0,99.0
MIMIC,1373,186.0
RHC,0,101.0
SA,0,105.0
GA,15,127.0
MIMIC,1404,183.0
RHC,0,105.0
SA,0,113.0
GA,0,114.0
MIMIC,1295,188.0
RHC,0,122.0
SA,0,92.0
GA,0,115.0
MIMIC,1126,188.0
RHC,0,119.0
SA,0,105.0
GA,16,103.0
MIMIC,1123,187.0
RHC,0,140.0
SA,0,104.0
GA,15,99.0
MIMIC,1108,192.0
RHC,0,126.0
SA,0,96.0
GA,0,109.0
MIMIC,1201,194.0
RHC,0,125.0
SA,0,96.0
GA,15,106.0
MIMIC,1204,189.0
RHC,0,121.0
SA,0,103.0
GA,0,106.0
MIMIC,1139,193.0
RHC,0,116.0
SA,0,106.0
GA,0,103.0
MIMIC,1086,188.0
RHC,0,138.0
SA,0,86.0
GA,16,97.0
MIMIC,1144,192.0
RHC,0,126.0
SA,0,103.0
GA,0,106.0
MIMIC,1263,190.0
RHC,0,115.0
SA,0,91.0
GA,0,97.0
MIMIC,1108,182.0
RHC,0,119.0
SA,0,97.0
GA,0,98.0
MIMIC,1092,191.0
RHC,0,119.0
SA,0,100.0
GA,16,96.0
MIMIC,1108,190.0
RHC,0,128.0
SA,0,102.0
GA,0,107.0
MIMIC,1279,183.0
RHC,0,121.0
SA,0,107.0
GA,0,105.0
MIMIC,1108,185.0
RHC,0,123.0
SA,0,90.0
GA,0,113.0
MIMIC,1108,190.0
RHC,0,119.0
SA,0,118.0
GA,15,101.0
MIMIC,1097,186.0
RHC,0,119.0
SA,0,88.0
GA,0,119.0
MIMIC,1203,188.0
RHC,0,111.0
SA,0,108.0
GA,16,101.0
MIMIC,1139,185.0
